Requests/sec,Size/request,Status 200,Status 500,Concurrent requests,10th percentile,50th percentile,75th percentile,90th percentile,99th percentile,hello - Current replicas
602.3144,28 bytes,1920,0,160,0.0196,0.0335,0.0437,0.0656,2.6861,1
619.3706,28 bytes,1980,0,180,0.0185,0.0304,0.0399,0.0762,2.7056,1
625.1854,28 bytes,2000,0,200,0.0180,0.0315,0.0513,0.1209,2.7354,1
576.8467,28 bytes,1800,0,300,0.0142,0.0237,0.0349,1.2669,2.8500,1
925.5604,28 bytes,2000,0,400,0.0124,0.0310,0.0723,1.1386,1.9162,1
859.1042,28 bytes,2000,0,500,0.0134,0.0280,0.1869,1.3994,2.1050,2
430.8340,27 bytes,1579,421,1000,0.0091,0.7026,1.9924,2.9291,3.6874,2
667.9590,28 bytes,2400,0,10,0.0089,0.0141,0.0176,0.0216,0.0309,1
615.5659,28 bytes,2400,0,20,0.0176,0.0303,0.0386,0.0470,0.0684,1
645.9674,28 bytes,2400,0,50,0.0251,0.0589,0.0780,0.1033,0.2675,1
601.2483,28 bytes,2380,0,70,0.0303,0.0565,0.0699,0.0978,1.4463,1
548.0190,28 bytes,2400,0,80,0.0308,0.0600,0.0762,0.1121,2.0369,1
579.6126,28 bytes,2400,0,100,0.0284,0.0543,0.0753,0.1028,2.5435,1
579.0237,28 bytes,2375,0,125,0.0271,0.0428,0.0594,0.0765,2.8708,1
624.9774,28 bytes,2295,0,135,0.0239,0.0405,0.0529,0.0729,2.7977,1
703.7259,28 bytes,2400,0,160,0.0171,0.0574,0.0867,0.1352,2.4526,1
845.7484,28 bytes,2340,0,180,0.0094,0.0403,0.0683,0.1156,2.2374,2
799.8963,28 bytes,2400,0,200,0.0146,0.0533,0.0976,0.1893,2.4356,2
1122.3999,28 bytes,2400,0,300,0.0063,0.0251,0.0592,0.6037,1.5488,3
829.7630,28 bytes,2218,182,400,0.0155,0.0481,0.1582,1.1176,1.4752,3
619.5925,28 bytes,2000,0,500,0.0087,0.0163,0.1722,2.0076,3.0545,1
356.8181,28 bytes,2000,0,1000,0.0071,0.3305,2.9090,4.4617,5.3693,1
561.2881,28 bytes,2700,0,10,0.0107,0.0166,0.0207,0.0254,0.0376,1
636.7176,28 bytes,2700,0,20,0.0185,0.0292,0.0370,0.0460,0.0609,1
578.3941,28 bytes,2700,0,50,0.0373,0.0746,0.0920,0.1233,0.2902,1
675.2010,28 bytes,2660,0,70,0.0298,0.0582,0.0762,0.1056,1.0007,1
619.6781,28 bytes,2640,0,80,0.0306,0.0704,0.0886,0.1204,1.2536,1
666.7400,28 bytes,2700,0,100,0.0274,0.0483,0.0601,0.0842,2.2490,1
577.4963,28 bytes,2625,0,125,0.0300,0.0514,0.0672,0.0861,3.0080,1
825.9797,28 bytes,2700,0,135,0.0154,0.0429,0.0611,0.0918,2.1382,1
957.3177,28 bytes,2560,0,160,0.0204,0.0477,0.0719,0.1128,1.6820,2
827.2893,28 bytes,2700,0,180,0.0214,0.0458,0.0652,0.1016,2.3654,2
940.8879,28 bytes,2600,0,200,0.0270,0.0755,0.1137,0.1947,1.6506,3
1121.5596,28 bytes,2700,0,300,0.0120,0.0524,0.0950,0.4287,2.0061,3
670.1769,28 bytes,2400,0,400,0.0127,0.0213,0.0337,1.4844,3.2588,1
653.7383,28 bytes,2500,0,500,0.0114,0.0192,0.0437,1.8457,3.5856,1
393.4856,28 bytes,2000,0,1000,0.0065,0.2651,2.3929,3.9562,4.8882,1
618.8385,28 bytes,3600,0,10,0.0099,0.0153,0.0191,0.0232,0.0332,1
598.0842,28 bytes,3600,0,20,0.0200,0.0308,0.0401,0.0486,0.0627,1
661.9354,28 bytes,3600,0,50,0.0344,0.0612,0.0801,0.1031,0.1730,1
635.3916,28 bytes,3570,0,70,0.0321,0.0757,0.1031,0.1283,0.6273,1
622.8359,28 bytes,3600,0,80,0.0346,0.0736,0.0978,0.1322,1.0014,1
617.2141,28 bytes,3600,0,100,0.0342,0.0710,0.0948,0.1237,2.2393,1
779.6138,28 bytes,3500,0,125,0.0181,0.0537,0.0795,0.1110,2.4842,1
849.5979,28 bytes,3510,0,135,0.0245,0.0650,0.1016,0.1519,1.7701,2
757.9685,28 bytes,3520,0,160,0.0112,0.0484,0.0845,0.1279,3.1278,2
981.0008,28 bytes,3600,0,180,0.0117,0.0427,0.0861,0.1609,1.8346,3
693.0966,27 bytes,3416,184,200,0.0242,0.0482,0.0740,0.3188,2.7995,3
630.1654,28 bytes,3600,0,300,0.0195,0.0327,0.0443,0.0686,4.9075,1
571.6288,28 bytes,3600,0,400,0.0194,0.0310,0.0409,0.6479,5.6180,1
738.7222,28 bytes,3500,0,500,0.0067,0.0198,0.0302,1.7085,4.4045,1
